,HomeTeam,HomeTeam.1,AwayTeam,AwayTeam.1
0,0,La Coruna,,
1,1,Sp Gijon,,
2,2,Ath Bilbao,,
3,3,Ath Madrid,,
4,4,Celta,,
5,5,Espanol,,
6,6,Merida,,
7,7,Sevilla,,
8,8,Valladolid,,
9,9,Vallecano,,
10,10,Zaragoza,,
11,11,Albacete,,
12,12,Barcelona,,
13,13,Betis,,
14,14,Real Madrid,,
15,15,Compostela,,
16,16,Oviedo,,
17,17,Salamanca,,
18,18,Santander,,
19,19,Sociedad,,
20,20,Tenerife,,
21,21,Valencia,,
465,22,Hercules,,
475,23,Logrones,,
483,24,Extremadura,,
929,25,Mallorca,,
1304,26,Alaves,,
1321,27,Villareal,,
1690,28,Malaga,,
1691,29,Numancia,,
2069,30,Las Palmas,,
2072,31,Osasuna,,
2073,32,Villarreal,,
2828,33,Recreativo,,
3222,34,Murcia,,
3599,35,Getafe,,
3601,36,Levante,,
3968,37,Cadiz,,
4358,38,Gimnastic,,
4736,39,Almeria,,
5503,40,Xerez,,
6244,41,Granada,,
7016,42,Elche,,
7390,43,Eibar,,
7398,44,Cordoba,,
8157,45,Leganes,,
8527,46,Girona,,
8933,47,Huesca,,
0,,,21,Valencia
1,,,11,Albacete
2,,,18,Santander
3,,,19,Sociedad
4,,,15,Compostela
5,,,17,Salamanca
6,,,13,Betis
7,,,20,Tenerife
8,,,12,Barcelona
9,,,14,Real Madrid
10,,,16,Oviedo
11,,,7,Sevilla
12,,,6,Merida
13,,,10,Zaragoza
14,,,2,Ath Bilbao
15,,,0,La Coruna
16,,,9,Vallecano
17,,,4,Celta
18,,,3,Ath Madrid
19,,,1,Sp Gijon
20,,,5,Espanol
21,,,8,Valladolid
465,,,24,Extremadura
471,,,23,Logrones
479,,,22,Hercules
937,,,25,Mallorca
1313,,,27,Villareal
1323,,,26,Alaves
1695,,,28,Malaga
1699,,,29,Numancia
2079,,,32,Villarreal
2081,,,31,Osasuna
2082,,,30,Las Palmas
2837,,,33,Recreativo
3210,,,34,Murcia
3591,,,36,Levante
3592,,,35,Getafe
3980,,,37,Cadiz
4346,,,38,Gimnastic
4728,,,39,Almeria
5489,,,40,Xerez
6263,,,41,Granada
7013,,,42,Elche
7392,,,44,Cordoba
7397,,,43,Eibar
8152,,,45,Leganes
8549,,,46,Girona
8909,,,47,Huesca